model,qid,category,correct_answer,baseline_prediction,baseline_correct,L1_prediction,L1_correct,L2_prediction,L2_correct,L3_prediction,L3_correct,L4_prediction,L4_correct,MCT,final_flip_level,instability,pattern
Qwen2.5-1.5B,M-006,geographic_attribution,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Qwen2.5-1.5B,M-008,historical_narrative,A,B,0,A,1,A,1,A,1,A,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-010,scientific,D,B,0,B,0,D,1,A,0,D,1,2,L2,1,0→0→1→0→1
Qwen2.5-1.5B,M-011,scientific,A,B,0,A,1,A,1,A,1,A,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-012,scientific,C,A,0,A,0,C,1,C,1,C,1,2,L2,0,0→0→1→1→1
Qwen2.5-1.5B,M-013,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Qwen2.5-1.5B,M-014,scientific,C,D,0,C,1,C,1,C,1,C,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-015,scientific,C,A,0,C,1,C,1,C,1,C,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-016,scientific,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Qwen2.5-1.5B,M-003,geographic_attribution,B,A,0,B,1,B,1,B,1,B,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-B01,scientific,A,C,0,C,0,C,0,C,0,C,0,5,never,0,0→0→0→0→0
Qwen2.5-1.5B,M-B02,scientific,C,B,0,C,1,C,1,C,1,C,1,1,L1,0,0→1→1→1→1
Qwen2.5-1.5B,M-B05,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
Qwen2.5-1.5B,M-B07,scientific,C,B,0,C,1,C,1,C,1,C,1,1,L1,0,0→1→1→1→1
